,Reportdt,ConfirmedT
1,3/24/20,69
2,3/25/20,152
3,3/26/20,186
4,3/27/20,232
5,3/28/20,273
6,3/29/20,300
7,3/30/20,323
8,3/31/20,356
9,04/01/2020,363
10,04/02/2020,370
11,04/03/2020,383
12,04/04/2020,465
13,04/05/2020,502
14,04/06/2020,567
15,04/07/2020,664
16,04/08/2020,753
17,04/09/2020,826
18,04/10/2020,902
19,04/11/2020,1100
20,04/12/2020,1219
21,4/13/20,1334
22,4/14/20,1391
23,4/15/20,1477
24,4/16/20,1501
25,4/17/20,1726
26,4/18/20,1821
27,4/19/20,2023
28,4/20/20,2171
29,4/21/20,2338
30,4/22/20,2496
31,4/23/20,2637
32,4/24/20,2820
33,4/25/20,3095
34,4/26/20,3289
35,4/27/20,3482
36,4/28/20,3697
37,4/29/20,4155
38,4/30/20,4466
39,05/01/2020,4652
40,05/02/2020,4787
41,05/03/2020,4934
42,05/04/2020,5185
43,05/05/2020,5360
44,05/06/2020,5570
45,05/07/2020,5732
46,05/08/2020,6092
47,05/09/2020,6489
48,05/10/2020,7038
49,05/11/2020,7566
50,05/12/2020,8305
51,5/13/20,8828
52,5/14/20,9335
53,5/15/20,10311
54,5/16/20,10820
55,5/17/20,11537
56,5/18/20,12315
57,5/19/20,13262
58,5/20/20,14070
59,5/21/20,15070
60,5/22/20,15885
61,5/23/20,16636
62,5/24/20,17438
63,5/25/20,18261
64,5/26/20,19039
65,5/27/20,19656
66,5/28/20,20204
67,5/29/20,20903
68,5/30/20,21433
69,5/31/20,22223
70,06/01/2020,22865
71,06/02/2020,23577
72,06/03/2020,24334
73,06/04/2020,25122
74,06/05/2020,26201
75,06/06/2020,27014
76,06/07/2020,27854
77,06/08/2020,29071
78,06/09/2020,30654
79,06/10/2020,32359
80,06/11/2020,34239
81,06/12/2020,35458
82,6/13/20,37501
83,6/14/20,39352
84,6/15/20,41262
85,6/16/20,43871
86,6/17/20,45652
87,6/18/20,47040
88,6/19/20,47936
89,6/20/20,48728
90,6/21/20,49244
91,6/22/20,49622
92,6/23/20,49930
93,6/24/20,50226
94,6/25/20,50493
95,6/26/20,50712
96,6/27/20,51164
97,6/28/20,51632
98,6/29/20,52130
99,6/30/20,52718
100,07/01/2020,53288
101,07/02/2020,53850
102,07/03/2020,54447
103,07/04/2020,54967
104,07/05/2020,55440
105,07/06/2020,55867
106,07/07/2020,56347
107,07/08/2020,56795
108,07/09/2020,57236
109,07/10/2020,57646
110,07/11/2020,58070
111,07/12/2020,58430
112,7/13/20,58749
113,7/14/20,59092
114,7/15/20,59379
115,7/16/20,59668
116,7/17/20,60027
117,7/18/20,60336
118,7/19/20,60609
119,7/20/20,60886
120,7/21/20,61101
121,7/22/20,61362
122,7/23/20,61551
123,7/24/20,61867
124,7/25/20,62057
125,7/26/20,62260
126,7/27/20,62443
127,7/28/20,62604
128,7/29/20,62773
129,7/30/20,62929
130,7/31/20,63139
131,08/01/2020,63314
132,08/02/2020,63459
133,08/03/2020,63612
134,08/04/2020,63844
135,08/05/2020,64047
136,08/06/2020,64255
137,08/07/2020,64487
138,08/08/2020,64659
139,08/09/2020,64842
140,08/10/2020,65105
141,08/11/2020,65282
142,08/12/2020,65459
143,8/13/20,65581
144,8/14/20,65718
145,8/15/20,65809
146,8/16/20,65913
147,8/17/20,66042
148,8/18/20,66150
149,8/19/20,66262
150,8/20/20,66370
151,8/21/20,66451
152,8/22/20,66550
153,8/23/20,66645
154,8/24/20,66766
155,8/25/20,66917
156,8/26/20,67007
157,8/27/20,67112
158,8/28/20,67187
159,8/29/20,67257
160,8/30/20,67346
161,8/31/20,67413
162,09/01/2020,67493
163,09/02/2020,67558
164,09/03/2020,67643
165,09/04/2020,67719
166,09/05/2020,67780
167,09/06/2020,67857
168,09/07/2020,67947
169,09/08/2020,68023
170,09/09/2020,68091
171,09/10/2020,68167
172,09/11/2020,68226
173,09/12/2020,68301
174,9/13/20,68361
175,9/14/20,68419
176,9/15/20,68479
177,9/16/20,68537
178,9/17/20,68590
179,9/18/20,68633
180,9/19/20,68676
181,9/20/20,68728
182,9/21/20,68782
183,9/22/20,68842
184,9/23/20,68897
185,9/24/20,68944
186,9/25/20,68990
187,9/26/20,69034
188,9/27/20,69084
189,9/28/20,69136
190,9/29/20,69189
191,9/30/20,69240
192,10/01/2020,69295
193,10/02/2020,69341
194,10/03/2020,69385
195,10/04/2020,69433
196,10/05/2020,69474
197,10/06/2020,69514
198,10/07/2020,69562
199,10/08/2020,69604
200,10/09/2020,69658
201,10/10/2020,69709
202,10/11/2020,69757
203,10/12/2020,69801
204,10/13/20,69878
205,10/14/20,69928
206,10/15/20,70006
207,10/16/20,70085
208,10/17/20,70139
209,10/18/20,70194
210,10/19/20,70243
211,10/20/20,70306
212,10/21/20,70384
213,10/22/20,70449
214,10/23/20,70501
215,10/24/20,70556
216,10/25/20,70621
217,10/26/20,70710
218,10/27/20,70788
219,10/28/20,70860
220,10/29/20,70943
221,10/30/20,71002
222,10/31/20,71068
223,11/01/2020,71117
224,11/02/2020,71178
225,11/03/2020,71244
226,11/04/2020,71335
227,11/05/2020,71426
228,11/06/2020,71528
229,11/07/2020,71596
230,11/08/2020,71660
231,11/09/2020,71741
232,11/10/2020,71819
233,11/11/2020,71894
234,11/12/2020,71972
235,11/13/20,72061
236,11/14/20,72130
237,11/15/20,72183
238,11/16/20,72238
239,11/17/20,72319
240,11/18/20,72406
241,11/19/20,72496
242,11/20/20,72562
243,11/21/20,72633
244,11/22/20,72690
245,11/23/20,72759
246,11/24/20,72858
247,11/25/20,72966
248,11/26/20,73050
249,11/27/20,73115
250,11/28/20,73190
251,11/29/20,73257
252,11/30/20,73319
253,12/01/2020,73384
254,12/02/2020,73462
255,12/03/2020,73532
256,12/04/2020,73596
257,12/05/2020,73648
258,12/06/2020,73692
259,12/07/2020,73745
260,12/08/2020,73810
261,12/09/2020,73857
262,12/10/2020,73902
263,12/11/2020,73962
264,12/12/2020,74006
265,12/13/20,74052
266,12/14/20,74086
267,12/15/20,74139
268,12/16/20,74184
269,12/17/20,74231
270,12/18/20,74275
271,12/19/20,74315
272,12/20/20,74346
273,12/21/20,74410
274,12/22/20,74469
275,12/23/20,74521
276,12/24/20,74565
277,12/25/20,74604
278,12/26/20,74646
279,12/27/20,74686
280,12/28/20,74732
281,12/29/20,74776
282,12/30/20,74831
283,12/31/20,74872
284,01/01/2021,74915
285,01/02/2021,74950
286,01/03/2021,74984
287,01/04/2021,75031
288,01/05/2021,75074
289,01/06/2021,75122
290,01/07/2021,75168
291,01/08/2021,75208
292,01/09/2021,75255
293,01/10/2021,75298
294,01/11/2021,75346
295,01/12/2021,75389
296,1/13/21,75435
297,1/14/21,75501
298,1/15/21,75559
299,1/16/21,75621
300,1/17/21,75688
301,1/18/21,75741
302,1/19/21,75827
303,1/20/21,75910
304,1/21/21,75998
305,1/22/21,76076
306,1/23/21,76158
307,1/24/21,76233
308,1/25/21,76311
309,1/26/21,76395
310,1/27/21,76480
311,1/28/21,76569
312,1/29/21,76674
313,1/30/21,76767
314,1/31/21,76866
315,02/01/2021,76997
316,02/02/2021,77121
317,02/03/2021,77247
318,02/04/2021,77381
319,02/05/2021,77535
320,02/06/2021,77688
321,02/07/2021,77852
322,02/08/2021,78020
323,02/09/2021,78193
324,02/10/2021,78369
325,02/11/2021,78537
326,02/12/2021,78698
327,2/13/21,78865
328,2/14/21,79019
329,2/15/21,79170
330,2/16/21,79339
331,2/17/21,79504
332,2/18/21,79667
333,2/19/21,79838
334,2/20/21,80015
335,2/21/21,80189
336,2/22/21,80352
337,2/23/21,80538
338,2/24/21,80718
339,2/25/21,80902
340,2/26/21,81081
341,2/27/21,81248
342,2/28/21,81390
343,03/01/2021,81526
344,03/02/2021,81660
345,03/03/2021,81822
346,03/04/2021,82009
347,03/05/2021,82192
348,03/06/2021,82380
349,03/07/2021,82548
350,03/08/2021,82740
351,03/09/2021,82917
352,03/10/2021,83081
353,03/11/2021,83255
354,03/12/2021,83430
355,3/13/21,83609
356,3/14/21,83751
357,3/15/21,83888
358,3/16/21,84032
359,3/17/21,84189
360,3/18/21,84348
361,3/19/21,84520
362,3/20/21,84685
363,3/21/21,84869
364,3/22/21,85028
365,3/23/21,85221
366,3/24/21,85425
367,3/25/21,85638
368,3/26/21,85864
369,3/27/21,86085
370,3/28/21,86302
371,3/29/21,86530
372,3/30/21,86764
373,3/31/21,87002
374,04/01/2021,87340
375,04/02/2021,87660
376,04/03/2021,87979
377,04/04/2021,88268
378,04/05/2021,88631